Source,Indicator,Country,Administrative level,Year,Value ,Category,valuetype
Household Survey Indicators,Net attendance rate in secondary education,Bolivia,National,2007,0.76688645,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Bolivia,National,2007,0.49878394,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Bolivia,National,2007,0.110191046,Total,pct
Household Survey Indicators,Completion rate in primary education,Bolivia,National,2008,0.904372805,Total,pct
Household Survey Indicators,Completion rate in secondary education,Bolivia,National,2008,0.678551479,Total,pct
Household Survey Indicators,Early school dropout rate,Bolivia,National,2008,0.285465513,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Bolivia,National,2008,0.980478107,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Bolivia,National,2008,0.771952514,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Bolivia,National,2008,0.503662821,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Bolivia,National,2008,0.096851305,Total,pct
Household Survey Indicators,Completion rate in primary education,Bolivia,National,2009,0.928296572,Total,pct
Household Survey Indicators,Completion rate in secondary education,Bolivia,National,2009,0.65422192,Total,pct
Household Survey Indicators,Early school dropout rate,Bolivia,National,2009,0.288335168,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Bolivia,National,2009,0.977777501,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Bolivia,National,2009,0.784999071,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Bolivia,National,2009,0.487264324,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Bolivia,National,2009,0.091786152,Total,pct
Household Survey Indicators,Completion rate in primary education,Bolivia,National,2011,0.930462177,Total,pct
Household Survey Indicators,Completion rate in secondary education,Bolivia,National,2011,0.677879009,Total,pct
Household Survey Indicators,Early school dropout rate,Bolivia,National,2011,0.280319532,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Bolivia,National,2011,0.976610447,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Bolivia,National,2011,0.798136763,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Bolivia,National,2011,0.495780566,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Bolivia,National,2011,0.10853584,Total,pct
Household Survey Indicators,Completion rate in primary education,Bolivia,National,2012,0.926458503,Total,pct
Household Survey Indicators,Completion rate in secondary education,Bolivia,National,2012,0.690323363,Total,pct
Household Survey Indicators,Early school dropout rate,Bolivia,National,2012,0.254659747,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Bolivia,National,2012,0.977281182,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Bolivia,National,2012,0.757266826,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Bolivia,National,2012,0.491515006,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Bolivia,National,2012,0.104127763,Total,pct
Household Survey Indicators,Completion rate in primary education,Bolivia,National,2013,0.956204336,Total,pct
Household Survey Indicators,Completion rate in secondary education,Bolivia,National,2013,0.775017198,Total,pct
Household Survey Indicators,Early school dropout rate,Bolivia,National,2013,0.199797855,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Bolivia,National,2013,0.974588371,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Bolivia,National,2013,0.843399009,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Bolivia,National,2013,0.538884801,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Bolivia,National,2013,0.104284523,Total,pct
Household Survey Indicators,Completion rate in primary education,Bolivia,National,2014,0.932574063,Total,pct
Household Survey Indicators,Completion rate in secondary education,Bolivia,National,2014,0.685124614,Total,pct
Household Survey Indicators,Early school dropout rate,Bolivia,National,2014,0.280321595,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Bolivia,National,2014,0.980530575,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Bolivia,National,2014,0.814613527,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Bolivia,National,2014,0.491853173,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Bolivia,National,2014,0.111574843,Total,pct
Household Survey Indicators,Completion rate in primary education,Bolivia,National,2015,0.969327753,Total,pct
Household Survey Indicators,Completion rate in secondary education,Bolivia,National,2015,0.71379098,Total,pct
Household Survey Indicators,Early school dropout rate,Bolivia,National,2015,0.245535875,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Bolivia,National,2015,0.970321252,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Bolivia,National,2015,0.866171136,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Bolivia,National,2015,0.474074209,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Bolivia,National,2015,0.145512956,Total,pct
Household Survey Indicators,Completion rate in primary education,Bolivia,National,2016,0.964205308,Total,pct
Household Survey Indicators,Completion rate in secondary education,Bolivia,National,2016,0.751587043,Total,pct
Household Survey Indicators,Early school dropout rate,Bolivia,National,2016,0.236263241,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Bolivia,National,2016,0.984050946,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Bolivia,National,2016,0.839341154,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Bolivia,National,2016,0.496419292,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Bolivia,National,2016,0.107915208,Total,pct
Household Survey Indicators,Completion rate in primary education,Bolivia,National,2017,0.974574142,Total,pct
Household Survey Indicators,Completion rate in secondary education,Bolivia,National,2017,0.76022208,Total,pct
Household Survey Indicators,Early school dropout rate,Bolivia,National,2017,0.185133551,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Bolivia,National,2017,0.99047016,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Bolivia,National,2017,0.86313235,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Bolivia,National,2017,0.539998204,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Bolivia,National,2017,0.115771369,Total,pct
Household Survey Indicators,Completion rate in primary education,Bolivia,National,2018,0.974078749,Total,pct
Household Survey Indicators,Completion rate in secondary education,Bolivia,National,2018,0.77496918,Total,pct
Household Survey Indicators,Early school dropout rate,Bolivia,National,2018,0.191739127,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Bolivia,National,2018,0.989023228,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Bolivia,National,2018,0.829345752,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Bolivia,National,2018,0.532628813,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Bolivia,National,2018,0.10834214,Total,pct
Household Survey Indicators,Completion rate in primary education,Bolivia,National,2019,0.954708091,Total,pct
Household Survey Indicators,Completion rate in secondary education,Bolivia,National,2019,0.781510352,Total,pct
Household Survey Indicators,Early school dropout rate,Bolivia,National,2019,0.186497938,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Bolivia,National,2019,0.989270684,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Bolivia,National,2019,0.82736616,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Bolivia,National,2019,0.545122139,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Bolivia,National,2019,0.102350993,Total,pct
Household Survey Indicators,Completion rate in primary education,Bolivia,National,2020,0.970049881,Total,pct
Household Survey Indicators,Completion rate in secondary education,Bolivia,National,2020,0.817650492,Total,pct
Household Survey Indicators,Early school dropout rate,Bolivia,National,2020,0.164555901,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Bolivia,National,2020,0.975106827,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Bolivia,National,2020,0.841395349,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Bolivia,National,2020,0.513558833,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Bolivia,National,2020,0.136743873,Total,pct
Household Survey Indicators,Completion rate in primary education,Bolivia,National,2021,0.987194667,Total,pct
Household Survey Indicators,Completion rate in secondary education,Bolivia,National,2021,0.819306189,Total,pct
