Pais,Anio,Escolaridad,Relacion_salarial
América Latina,2020,13 años y más,84.7
América Latina,2020,6 a 9 años,79.4
América Latina,2020,Total,94.7
América Latina,2021,0 a 5 años,84
América Latina,2021,10 a 12 años,83.9
América Latina,2021,13 años y más,83.5
América Latina,2021,6 a 9 años,80.5
América Latina,2021,Total,93.4
América Latina,2022,0 a 5 años,85.1
América Latina,2022,10 a 12 años,83.2
América Latina,2022,13 años y más,83.4
América Latina,2022,6 a 9 años,79.5
América Latina,2022,Total,92.2
América Latina,2023,0 a 5 años,81.3
América Latina,2023,10 a 12 años,82.3
América Latina,2023,13 años y más,84.4
América Latina,2023,6 a 9 años,79.5
América Latina,2023,Total,92
América Latina,2024,0 a 5 años,77.4
América Latina,2024,10 a 12 años,82
América Latina,2024,13 años y más,84.9
América Latina,2024,6 a 9 años,80.9
América Latina,2024,Total,91.7
Argentina,2000,0 a 5 años,81.1
Argentina,2000,10 a 12 años,79.6
Argentina,2000,13 años y más,71.3
Argentina,2000,6 a 9 años,75.8
Argentina,2000,Total,87.9
Argentina,2001,0 a 5 años,86.5
Argentina,2001,10 a 12 años,76.7
Argentina,2001,13 años y más,75.2
Argentina,2001,6 a 9 años,73.6
Argentina,2001,Total,89.7
Argentina,2002,0 a 5 años,89.5
Argentina,2002,10 a 12 años,81.1
Argentina,2002,13 años y más,69.8
Argentina,2002,6 a 9 años,65.6
Argentina,2002,Total,85.6
Argentina,2003,0 a 5 años,85.7
Argentina,2003,10 a 12 años,84.4
Argentina,2003,13 años y más,83
Argentina,2003,6 a 9 años,79.8
Argentina,2003,Total,95.6
Argentina,2004,0 a 5 años,84.2
Argentina,2004,10 a 12 años,77.1
Argentina,2004,13 años y más,78.5
Argentina,2004,6 a 9 años,73.6
Argentina,2004,Total,89.1
Argentina,2005,0 a 5 años,76.5
Argentina,2005,10 a 12 años,82.5
Argentina,2005,13 años y más,74.3
Argentina,2005,6 a 9 años,70.3
Argentina,2005,Total,89.1
Argentina,2006,0 a 5 años,74.8
Argentina,2006,10 a 12 años,75.1
Argentina,2006,13 años y más,79.6
Argentina,2006,6 a 9 años,69.1
Argentina,2006,Total,90
Argentina,2007,0 a 5 años,76.4
Argentina,2007,10 a 12 años,75.8
Argentina,2007,13 años y más,70
Argentina,2007,6 a 9 años,66.8
Argentina,2007,Total,81.9
Argentina,2008,0 a 5 años,49.5
Argentina,2008,10 a 12 años,75.5
Argentina,2008,13 años y más,78.1
Argentina,2008,6 a 9 años,63.5
Argentina,2008,Total,83.4
Argentina,2009,0 a 5 años,77.7
Argentina,2009,10 a 12 años,79.4
Argentina,2009,13 años y más,80.3
Argentina,2009,6 a 9 años,73
Argentina,2009,Total,88.5
Argentina,2010,0 a 5 años,60.3
Argentina,2010,10 a 12 años,81.8
Argentina,2010,13 años y más,82.1
Argentina,2010,6 a 9 años,71.2
Argentina,2010,Total,90.9
Argentina,2011,0 a 5 años,79.6
Argentina,2011,10 a 12 años,80
Argentina,2011,13 años y más,81.8
Argentina,2011,6 a 9 años,72
Argentina,2011,Total,89.6
Argentina,2012,0 a 5 años,50.7
Argentina,2012,10 a 12 años,80.8
Argentina,2012,13 años y más,87.6
Argentina,2012,6 a 9 años,76.9
Argentina,2012,Total,92.9
Argentina,2013,0 a 5 años,79.4
Argentina,2013,10 a 12 años,83.5
Argentina,2013,13 años y más,83.3
Argentina,2013,6 a 9 años,80.2
Argentina,2013,Total,91.4
Argentina,2014,0 a 5 años,87.8
