ref_area.label,source.label,indicator.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Total,2023,8.7,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Niveles de competencia 3 y 4 ~ altos,2023,19.773,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Nivel de competencia 2 ~ medio,2023,14.557,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Nivel de competencia 1 ~ bajo,2023,-10.276,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (CIUO-08): 1. Directores y gerentes,2023,18.581,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (CIUO-08): 2. Profesionales científicos e intelectuales,2023,26.236,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (CIUO-08): 3. Técnicos y profesionales de nivel medio,2023,23.365,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Total,2022,8.91,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Niveles de competencia 3 y 4 ~ altos,2022,18.168,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Nivel de competencia 2 ~ medio,2022,15.573,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Nivel de competencia 1 ~ bajo,2022,-8.461,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (CIUO-08): 1. Directores y gerentes,2022,12.77,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (CIUO-08): 2. Profesionales científicos e intelectuales,2022,26.616,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (CIUO-08): 3. Técnicos y profesionales de nivel medio,2022,20.855,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Total,2021,4.325,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Niveles de competencia 3 y 4 ~ altos,2021,14.079,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Nivel de competencia 2 ~ medio,2021,10.869,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Nivel de competencia 1 ~ bajo,2021,-11.343,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (CIUO-08): 1. Directores y gerentes,2021,14.727,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
